AGRDE_FLAG_NM,BMI_IDEX_GRAD_NM,MBER_SEXDSTN_FLAG_CD,COAW_FLAG_NM,SPORTS_STEP_NM,FLAG_ACCTO_RECOMEND_MVM_RANK_CO,RECOMEND_MVM_NM
"10대","1단계비만","M","2등급","마무리운동","3","요가 및 필라테스  루틴프로그램"
"10대","1단계비만","M","2등급","마무리운동","4","아기자세"
"10대","1단계비만","M","2등급","마무리운동","5","복식호흡"
"10대","1단계비만","M","2등급","본운동","1","맨몸운동  루틴프로그램"
"10대","1단계비만","M","2등급","본운동","2","조깅"
"10대","1단계비만","M","2등급","본운동","3","줄넘기 운동"
"10대","1단계비만","M","2등급","본운동","4","버피 테스트"
"10대","1단계비만","M","2등급","본운동","5","자전거타기"
"10대","1단계비만","M","2등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","1단계비만","M","2등급","준비운동","2","발목 돌리기"
"10대","1단계비만","M","2등급","준비운동","3","발 끝 당기기"
"10대","1단계비만","M","2등급","준비운동","4","엎드려 한발 원 그리기"
"10대","1단계비만","M","2등급","준비운동","5","정적 스트레칭  루틴프로그램"
"10대","1단계비만","M","3등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","1단계비만","M","3등급","마무리운동","2","온 몸 뻗어주기"
"10대","1단계비만","M","3등급","마무리운동","3","요가 및 필라테스  루틴프로그램"
"10대","1단계비만","M","3등급","마무리운동","4","아기자세"
"10대","1단계비만","M","3등급","마무리운동","5","복식호흡"
"10대","1단계비만","M","3등급","본운동","1","맨몸운동  루틴프로그램"
"10대","1단계비만","M","3등급","본운동","2","조깅"
"10대","1단계비만","M","3등급","본운동","3","줄넘기 운동"
"10대","1단계비만","M","3등급","본운동","4","버피 테스트"
"10대","1단계비만","M","3등급","본운동","5","자전거타기"
"10대","1단계비만","M","3등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","1단계비만","M","3등급","준비운동","2","발목 돌리기"
"10대","1단계비만","M","3등급","준비운동","3","발 끝 당기기"
"10대","1단계비만","M","3등급","준비운동","4","엎드려 한발 원 그리기"
"10대","1단계비만","M","3등급","준비운동","5","정적 스트레칭  루틴프로그램"
"10대","1단계비만","M","참가증","마무리운동","1","온 몸 뻗어주기"
"10대","1단계비만","M","참가증","마무리운동","2","아기자세"
"10대","1단계비만","M","참가증","마무리운동","3","복식호흡"
"10대","1단계비만","M","참가증","마무리운동","4","줄넘기 운동"
"10대","1단계비만","M","참가증","마무리운동","5","옆구리 스트레칭"
"10대","1단계비만","M","참가증","본운동","1","줄넘기 운동"
"10대","1단계비만","M","참가증","본운동","2","조깅"
"10대","1단계비만","M","참가증","본운동","3","자전거타기"
"10대","1단계비만","M","참가증","본운동","4","수영"
"10대","1단계비만","M","참가증","본운동","5","버피 테스트"
"10대","1단계비만","M","참가증","준비운동","1","발목 돌리기"
"10대","1단계비만","M","참가증","준비운동","2","발 끝 당기기"
"10대","1단계비만","M","참가증","준비운동","3","엎드려 한발 원 그리기"
"10대","1단계비만","M","참가증","준비운동","4","몸통 비틀기"
"10대","1단계비만","M","참가증","준비운동","5","양발 교차하여 서서 몸통 숙이기"
"10대","2단계비만","F","1등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","2단계비만","F","1등급","마무리운동","2","온 몸 뻗어주기"
"10대","2단계비만","F","1등급","마무리운동","3","요가 및 필라테스  루틴프로그램"
"10대","2단계비만","F","1등급","마무리운동","4","복식호흡"
"10대","2단계비만","F","1등급","마무리운동","5","줄넘기 운동"
"10대","2단계비만","F","1등급","본운동","1","줄넘기 운동"
"10대","2단계비만","F","1등급","본운동","2","맨몸운동  루틴프로그램"
"10대","2단계비만","F","1등급","본운동","3","버피 테스트"
"10대","2단계비만","F","1등급","본운동","4","조깅"
"10대","2단계비만","F","1등급","본운동","5","자전거타기"
"10대","2단계비만","F","1등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","2단계비만","F","1등급","준비운동","2","발목 돌리기"
"10대","2단계비만","F","1등급","준비운동","3","정적 스트레칭  루틴프로그램"
"10대","2단계비만","F","1등급","준비운동","4","엎드려 한발 원 그리기"
"10대","2단계비만","F","1등급","준비운동","5","발 끝 당기기"
"10대","2단계비만","F","2등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","2단계비만","F","2등급","마무리운동","2","온 몸 뻗어주기"
"10대","2단계비만","F","2등급","마무리운동","3","요가 및 필라테스  루틴프로그램"
"10대","2단계비만","F","2등급","마무리운동","4","복식호흡"
"10대","2단계비만","F","2등급","마무리운동","5","줄넘기 운동"
"10대","2단계비만","F","2등급","본운동","1","맨몸운동  루틴프로그램"
"10대","2단계비만","F","2등급","본운동","2","줄넘기 운동"
"10대","2단계비만","F","2등급","본운동","3","버피 테스트"
"10대","2단계비만","F","2등급","본운동","4","조깅"
"10대","2단계비만","F","2등급","본운동","5","자전거타기"
"10대","2단계비만","F","2등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","2단계비만","F","2등급","준비운동","2","발목 돌리기"
"10대","2단계비만","F","2등급","준비운동","3","정적 스트레칭  루틴프로그램"
"10대","2단계비만","F","2등급","준비운동","4","엎드려 한발 원 그리기"
"10대","2단계비만","F","2등급","준비운동","5","발 끝 당기기"
"10대","2단계비만","F","3등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","2단계비만","F","3등급","마무리운동","2","온 몸 뻗어주기"
"10대","2단계비만","F","3등급","마무리운동","3","요가 및 필라테스  루틴프로그램"
"10대","2단계비만","F","3등급","마무리운동","4","복식호흡"
"10대","2단계비만","F","3등급","마무리운동","5","줄넘기 운동"
"10대","2단계비만","F","3등급","본운동","1","맨몸운동  루틴프로그램"
"10대","2단계비만","F","3등급","본운동","2","줄넘기 운동"
"10대","2단계비만","F","3등급","본운동","3","버피 테스트"
"10대","2단계비만","F","3등급","본운동","4","조깅"
"10대","2단계비만","F","3등급","본운동","5","자전거타기"
"10대","2단계비만","F","3등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","2단계비만","F","3등급","준비운동","2","발목 돌리기"
"10대","2단계비만","F","3등급","준비운동","3","정적 스트레칭  루틴프로그램"
"10대","2단계비만","F","3등급","준비운동","4","엎드려 한발 원 그리기"
"10대","2단계비만","F","3등급","준비운동","5","발 끝 당기기"
"10대","2단계비만","F","참가증","마무리운동","1","온 몸 뻗어주기"
"10대","2단계비만","F","참가증","마무리운동","2","줄넘기 운동"
"10대","2단계비만","F","참가증","마무리운동","3","복식호흡"
"10대","2단계비만","F","참가증","마무리운동","4","아기자세"
"10대","2단계비만","F","참가증","마무리운동","5","옆구리 스트레칭"
"10대","2단계비만","F","참가증","본운동","1","줄넘기 운동"
"10대","2단계비만","F","참가증","본운동","2","버피 테스트"
"10대","2단계비만","F","참가증","본운동","3","자전거타기"
"10대","2단계비만","F","참가증","본운동","4","수영"
"10대","2단계비만","F","참가증","본운동","5","전완대고 버티기"
"10대","2단계비만","F","참가증","준비운동","1","엎드려 한발 원 그리기"
"10대","2단계비만","F","참가증","준비운동","2","발목 돌리기"
"10대","2단계비만","F","참가증","준비운동","3","발 끝 당기기"
"10대","2단계비만","F","참가증","준비운동","4","몸통 비틀기"
"10대","2단계비만","F","참가증","준비운동","5","양발 교차하여 서서 몸통 숙이기"
"10대","2단계비만","M","1등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","2단계비만","M","1등급","마무리운동","2","온 몸 뻗어주기"
"10대","2단계비만","M","1등급","마무리운동","3","요가 및 필라테스  루틴프로그램"
"10대","2단계비만","M","1등급","마무리운동","4","아기자세"
"10대","2단계비만","M","1등급","마무리운동","5","줄넘기 운동"
"10대","2단계비만","M","1등급","본운동","1","맨몸운동  루틴프로그램"
"10대","2단계비만","M","1등급","본운동","2","조깅"
"10대","2단계비만","M","1등급","본운동","3","줄넘기 운동"
"10대","2단계비만","M","1등급","본운동","4","버피 테스트"
"10대","2단계비만","M","1등급","본운동","5","자전거타기"
"10대","2단계비만","M","1등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","2단계비만","M","1등급","준비운동","2","발목 돌리기"
"10대","2단계비만","M","1등급","준비운동","3","발 끝 당기기"
"10대","2단계비만","M","1등급","준비운동","4","엎드려 한발 원 그리기"
"10대","2단계비만","M","1등급","준비운동","5","정적 스트레칭  루틴프로그램"
"10대","2단계비만","M","2등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","2단계비만","M","2등급","마무리운동","2","온 몸 뻗어주기"
"10대","2단계비만","M","2등급","마무리운동","3","요가 및 필라테스  루틴프로그램"
"10대","2단계비만","M","2등급","마무리운동","4","아기자세"
"10대","2단계비만","M","2등급","마무리운동","5","줄넘기 운동"
"10대","2단계비만","M","2등급","본운동","1","맨몸운동  루틴프로그램"
"10대","2단계비만","M","2등급","본운동","2","조깅"
"10대","2단계비만","M","2등급","본운동","3","줄넘기 운동"
"10대","2단계비만","M","2등급","본운동","4","버피 테스트"
"10대","2단계비만","M","2등급","본운동","5","자전거타기"
"10대","2단계비만","M","2등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","2단계비만","M","2등급","준비운동","2","발목 돌리기"
"10대","2단계비만","M","2등급","준비운동","3","발 끝 당기기"
"10대","2단계비만","M","2등급","준비운동","4","엎드려 한발 원 그리기"
"10대","2단계비만","M","2등급","준비운동","5","정적 스트레칭  루틴프로그램"
"10대","2단계비만","M","3등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","2단계비만","M","3등급","마무리운동","2","온 몸 뻗어주기"
"10대","2단계비만","M","3등급","마무리운동","3","요가 및 필라테스  루틴프로그램"
"10대","2단계비만","M","3등급","마무리운동","4","아기자세"
"10대","2단계비만","M","3등급","마무리운동","5","옆구리 스트레칭"
"10대","2단계비만","M","3등급","본운동","1","맨몸운동  루틴프로그램"
"10대","2단계비만","M","3등급","본운동","2","조깅"
"10대","2단계비만","M","3등급","본운동","3","줄넘기 운동"
"10대","2단계비만","M","3등급","본운동","4","자전거타기"
"10대","2단계비만","M","3등급","본운동","5","버피 테스트"
"10대","2단계비만","M","3등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","2단계비만","M","3등급","준비운동","2","발목 돌리기"
"10대","2단계비만","M","3등급","준비운동","3","발 끝 당기기"
"10대","2단계비만","M","3등급","준비운동","4","엎드려 한발 원 그리기"
"10대","2단계비만","M","3등급","준비운동","5","정적 스트레칭  루틴프로그램"
"10대","2단계비만","M","참가증","마무리운동","1","온 몸 뻗어주기"
"10대","2단계비만","M","참가증","마무리운동","2","아기자세"
"10대","2단계비만","M","참가증","마무리운동","3","줄넘기 운동"
"10대","2단계비만","M","참가증","마무리운동","4","옆구리 스트레칭"
"10대","2단계비만","M","참가증","마무리운동","5","모관운동"
"10대","2단계비만","M","참가증","본운동","1","줄넘기 운동"
"10대","2단계비만","M","참가증","본운동","2","자전거타기"
"10대","2단계비만","M","참가증","본운동","3","수영"
"10대","2단계비만","M","참가증","본운동","4","조깅"
"10대","2단계비만","M","참가증","본운동","5","버피 테스트"
"10대","2단계비만","M","참가증","준비운동","1","발목 돌리기"
"10대","2단계비만","M","참가증","준비운동","2","발 끝 당기기"
"10대","2단계비만","M","참가증","준비운동","3","엎드려 한발 원 그리기"
"10대","2단계비만","M","참가증","준비운동","4","몸통 비틀기"
"10대","2단계비만","M","참가증","준비운동","5","양발 교차하여 서서 몸통 숙이기"
"10대","3단계비만","F","1등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","3단계비만","F","1등급","마무리운동","2","짝 스트레칭  루틴프로그램"
"10대","3단계비만","F","1등급","마무리운동","3","복식호흡"
"10대","3단계비만","F","1등급","마무리운동","4","옆구리 스트레칭"
"10대","3단계비만","F","1등급","마무리운동","5","요가 및 필라테스  루틴프로그램"
"10대","3단계비만","F","1등급","본운동","1","줄넘기 운동"
"10대","3단계비만","F","1등급","본운동","2","맨몸운동  루틴프로그램"
"10대","3단계비만","F","1등급","본운동","3","조깅"
"10대","3단계비만","F","1등급","본운동","4","자전거타기"
"10대","3단계비만","F","1등급","본운동","5","버피 테스트"
"10대","3단계비만","F","1등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","3단계비만","F","1등급","준비운동","2","엎드려 한발 원 그리기"
"10대","3단계비만","F","1등급","준비운동","3","정적 스트레칭  루틴프로그램"
"10대","3단계비만","F","1등급","준비운동","4","발 끝 당기기"
"10대","3단계비만","F","1등급","준비운동","5","발목 돌리기"
"10대","3단계비만","F","2등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","3단계비만","F","2등급","마무리운동","2","복식호흡"
"10대","3단계비만","F","2등급","마무리운동","3","짝 스트레칭  루틴프로그램"
"10대","3단계비만","F","2등급","마무리운동","4","옆구리 스트레칭"
"10대","3단계비만","F","2등급","마무리운동","5","요가 및 필라테스  루틴프로그램"
"10대","3단계비만","F","2등급","본운동","1","줄넘기 운동"
"10대","3단계비만","F","2등급","본운동","2","맨몸운동  루틴프로그램"
"10대","3단계비만","F","2등급","본운동","3","조깅"
"10대","3단계비만","F","2등급","본운동","4","자전거타기"
"10대","3단계비만","F","2등급","본운동","5","버피 테스트"
"10대","3단계비만","F","2등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","3단계비만","F","2등급","준비운동","2","엎드려 한발 원 그리기"
"10대","3단계비만","F","2등급","준비운동","3","정적 스트레칭  루틴프로그램"
"10대","3단계비만","F","2등급","준비운동","4","발 끝 당기기"
"10대","3단계비만","F","2등급","준비운동","5","발목 돌리기"
"10대","3단계비만","F","3등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","3단계비만","F","3등급","마무리운동","2","복식호흡"
"10대","3단계비만","F","3등급","마무리운동","3","짝 스트레칭  루틴프로그램"
"10대","3단계비만","F","3등급","마무리운동","4","옆구리 스트레칭"
"10대","3단계비만","F","3등급","마무리운동","5","요가 및 필라테스  루틴프로그램"
"10대","3단계비만","F","3등급","본운동","1","줄넘기 운동"
"10대","3단계비만","F","3등급","본운동","2","맨몸운동  루틴프로그램"
"10대","3단계비만","F","3등급","본운동","3","조깅"
"10대","3단계비만","F","3등급","본운동","4","자전거타기"
"10대","3단계비만","F","3등급","본운동","5","버피 테스트"
"10대","3단계비만","F","3등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","3단계비만","F","3등급","준비운동","2","엎드려 한발 원 그리기"
"10대","3단계비만","F","3등급","준비운동","3","정적 스트레칭  루틴프로그램"
"10대","3단계비만","F","3등급","준비운동","4","발 끝 당기기"
"10대","3단계비만","F","3등급","준비운동","5","발목 돌리기"
"10대","3단계비만","F","참가증","마무리운동","1","옆구리 스트레칭"
"10대","3단계비만","F","참가증","마무리운동","2","복식호흡"
"10대","3단계비만","F","참가증","마무리운동","3","짝 스트레칭  루틴프로그램"
"10대","3단계비만","F","참가증","마무리운동","4","백 슬라이드"
"10대","3단계비만","F","참가증","마무리운동","5","줄넘기 운동"
"10대","3단계비만","F","참가증","본운동","1","줄넘기 운동"
"10대","3단계비만","F","참가증","본운동","2","자전거타기"
"10대","3단계비만","F","참가증","본운동","3","전완대고 버티기"
"10대","3단계비만","F","참가증","본운동","4","버피 테스트"
"10대","3단계비만","F","참가증","본운동","5","수영"
"10대","3단계비만","F","참가증","준비운동","1","엎드려 한발 원 그리기"
"10대","3단계비만","F","참가증","준비운동","2","발 끝 당기기"
"10대","3단계비만","F","참가증","준비운동","3","시소우"
"10대","3단계비만","F","참가증","준비운동","4","발목 돌리기"
"10대","3단계비만","F","참가증","준비운동","5","나비자세"
"10대","3단계비만","M","1등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","3단계비만","M","1등급","마무리운동","2","짝 스트레칭  루틴프로그램"
"10대","3단계비만","M","1등급","마무리운동","3","옆구리 스트레칭"
"10대","3단계비만","M","1등급","마무리운동","4","복식호흡"
"10대","3단계비만","M","1등급","마무리운동","5","요가 및 필라테스  루틴프로그램"
"10대","3단계비만","M","1등급","본운동","1","줄넘기 운동"
"10대","3단계비만","M","1등급","본운동","2","맨몸운동  루틴프로그램"
"10대","3단계비만","M","1등급","본운동","3","조깅"
"10대","3단계비만","M","1등급","본운동","4","자전거타기"
"10대","3단계비만","M","1등급","본운동","5","버피 테스트"
"10대","3단계비만","M","1등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","3단계비만","M","1등급","준비운동","2","발 끝 당기기"
"10대","3단계비만","M","1등급","준비운동","3","엎드려 한발 원 그리기"
"10대","3단계비만","M","1등급","준비운동","4","발목 돌리기"
"10대","3단계비만","M","1등급","준비운동","5","정적 스트레칭  루틴프로그램"
"10대","3단계비만","M","2등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","3단계비만","M","2등급","마무리운동","2","짝 스트레칭  루틴프로그램"
"10대","3단계비만","M","2등급","마무리운동","3","옆구리 스트레칭"
"10대","3단계비만","M","2등급","마무리운동","4","복식호흡"
"10대","3단계비만","M","2등급","마무리운동","5","요가 및 필라테스  루틴프로그램"
"10대","3단계비만","M","2등급","본운동","1","맨몸운동  루틴프로그램"
"10대","3단계비만","M","2등급","본운동","2","줄넘기 운동"
"10대","3단계비만","M","2등급","본운동","3","조깅"
"10대","3단계비만","M","2등급","본운동","4","자전거타기"
"10대","3단계비만","M","2등급","본운동","5","버피 테스트"
"10대","3단계비만","M","2등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","3단계비만","M","2등급","준비운동","2","발 끝 당기기"
"10대","3단계비만","M","2등급","준비운동","3","엎드려 한발 원 그리기"
"10대","3단계비만","M","2등급","준비운동","4","발목 돌리기"
"10대","3단계비만","M","2등급","준비운동","5","정적 스트레칭  루틴프로그램"
"10대","3단계비만","M","3등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","3단계비만","M","3등급","마무리운동","2","짝 스트레칭  루틴프로그램"
"10대","3단계비만","M","3등급","마무리운동","3","옆구리 스트레칭"
"10대","3단계비만","M","3등급","마무리운동","4","복식호흡"
"10대","3단계비만","M","3등급","마무리운동","5","요가 및 필라테스  루틴프로그램"
"10대","3단계비만","M","3등급","본운동","1","맨몸운동  루틴프로그램"
"10대","3단계비만","M","3등급","본운동","2","줄넘기 운동"
"10대","3단계비만","M","3등급","본운동","3","조깅"
"10대","3단계비만","M","3등급","본운동","4","자전거타기"
"10대","3단계비만","M","3등급","본운동","5","버피 테스트"
"10대","3단계비만","M","3등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","3단계비만","M","3등급","준비운동","2","발 끝 당기기"
"10대","3단계비만","M","3등급","준비운동","3","엎드려 한발 원 그리기"
"10대","3단계비만","M","3등급","준비운동","4","발목 돌리기"
"10대","3단계비만","M","3등급","준비운동","5","정적 스트레칭  루틴프로그램"
"10대","3단계비만","M","참가증","마무리운동","1","옆구리 스트레칭"
"10대","3단계비만","M","참가증","마무리운동","2","짝 스트레칭  루틴프로그램"
"10대","3단계비만","M","참가증","마무리운동","3","복식호흡"
"10대","3단계비만","M","참가증","마무리운동","4","아기자세"
"10대","3단계비만","M","참가증","마무리운동","5","모관운동"
"10대","3단계비만","M","참가증","본운동","1","줄넘기 운동"
"10대","3단계비만","M","참가증","본운동","2","자전거타기"
"10대","3단계비만","M","참가증","본운동","3","수영"
"10대","3단계비만","M","참가증","본운동","4","조깅"
"10대","3단계비만","M","참가증","본운동","5","전완대고 버티기"
"10대","3단계비만","M","참가증","준비운동","1","발 끝 당기기"
"10대","3단계비만","M","참가증","준비운동","2","엎드려 한발 원 그리기"
"10대","3단계비만","M","참가증","준비운동","3","발목 돌리기"
"10대","3단계비만","M","참가증","준비운동","4","나비자세"
"10대","3단계비만","M","참가증","준비운동","5","시소우"
"10대","비만전단계비만","F","1등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","비만전단계비만","F","1등급","마무리운동","2","온 몸 뻗어주기"
"10대","비만전단계비만","F","1등급","마무리운동","3","요가 및 필라테스  루틴프로그램"
"10대","비만전단계비만","F","1등급","마무리운동","4","복식호흡"
"10대","비만전단계비만","F","1등급","마무리운동","5","아기자세"
"10대","비만전단계비만","F","1등급","본운동","1","줄넘기 운동"
"10대","비만전단계비만","F","1등급","본운동","2","맨몸운동  루틴프로그램"
"10대","비만전단계비만","F","1등급","본운동","3","버피 테스트"
"10대","비만전단계비만","F","1등급","본운동","4","조깅"
"10대","비만전단계비만","F","1등급","본운동","5","자전거타기"
"10대","비만전단계비만","F","1등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","비만전단계비만","F","1등급","준비운동","2","발목 돌리기"
"10대","비만전단계비만","F","1등급","준비운동","3","엎드려 한발 원 그리기"
"10대","비만전단계비만","F","1등급","준비운동","4","정적 스트레칭  루틴프로그램"
"10대","비만전단계비만","F","1등급","준비운동","5","몸통 비틀기"
"10대","비만전단계비만","F","2등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","비만전단계비만","F","2등급","마무리운동","2","온 몸 뻗어주기"
"10대","비만전단계비만","F","2등급","마무리운동","3","요가 및 필라테스  루틴프로그램"
"10대","비만전단계비만","F","2등급","마무리운동","4","복식호흡"
"10대","비만전단계비만","F","2등급","마무리운동","5","아기자세"
"10대","비만전단계비만","F","2등급","본운동","1","줄넘기 운동"
"10대","비만전단계비만","F","2등급","본운동","2","맨몸운동  루틴프로그램"
"10대","비만전단계비만","F","2등급","본운동","3","버피 테스트"
"10대","비만전단계비만","F","2등급","본운동","4","조깅"
"10대","비만전단계비만","F","2등급","본운동","5","자전거타기"
"10대","비만전단계비만","F","2등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","비만전단계비만","F","2등급","준비운동","2","발목 돌리기"
"10대","비만전단계비만","F","2등급","준비운동","3","엎드려 한발 원 그리기"
"10대","비만전단계비만","F","2등급","준비운동","4","정적 스트레칭  루틴프로그램"
"10대","비만전단계비만","F","2등급","준비운동","5","몸통 비틀기"
"10대","비만전단계비만","F","3등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","비만전단계비만","F","3등급","마무리운동","2","온 몸 뻗어주기"
"10대","비만전단계비만","F","3등급","마무리운동","3","요가 및 필라테스  루틴프로그램"
"10대","비만전단계비만","F","3등급","마무리운동","4","복식호흡"
"10대","비만전단계비만","F","3등급","마무리운동","5","아기자세"
